词语	拼音	词性	英语	例句
瞎	xiā	v	Blind	省得瞎耽误工夫。
嫌弃	xiánqì	v	Dislike	只要你不嫌弃人家，对方是会同意的
显示	xiǎnshì	v	Display	电脑就是这样显示的。
现场	xiànchǎng	n	The scene	当时现场的情况吗？
线条	xiàntiáo	n	line	人物线条流畅活泼，体现了一种民间风格
相关	xiāngguān	v	Relevant	我觉得工资是与工作的责任紧密相关的，我们能不能先谈我在贵公司需要承担的责任？
相互	xiānghù	d	Mutual	不过，为了让大家多点相互了解，
香味	xiāngwèi	n	Fragrance	混合了一些自然的鲜果香味。
想象	xiǎngxiàng	v	Imagine	A:你就是传说中的美女上司，比我想象中的好看多了。
项链	xiàngliàn	n	Necklace	嗯，有条项链。
消	xiāo	v	Fire	你们这么不讲道理，我要去消协投诉。
小弟	xiǎodì	n	The younger brother	自处于道德崇高之地位者，常得意外的收获，请给小弟以些时间而压住自己的不耐烦
孝	xiào	v	filial piety	又逐日讲那些敦孝弟、劝农桑的呆话
蟹	xiè	n	Crab	四只虾，五只蟹。
心理	xīnlǐ	n	Psychology	都来了,你们要有心理准备。
新人	xīnrén	n	New people	恭喜两位新人勇敢地结合在一起。
新闻	xīnwén	n	Journalism	你们看电视新闻吗？
信息	xìnxī	n	Information	没有足够的信息很难做出全面的结论，不过从表面看很成功。
醒来	xǐnglái	v	Wake up	你醒来就好了，
兴	xīng	v	Prosper	有兴而来，兴尽而返
幸运	xìngyùn	a	Lucky	能有这种交流的机会，我感到十分幸运。
性子	xìngzǐ	n	Temper	耐着性子的狼，都一样。
凶手	xiōngshǒu	n	Murderer	现在还不清楚凶手杀人的动机
绣	xiù	v	embroidery	我的{de5}手受伤了{le5},绣不成花了{le5}
须	xū	d	Shall be	白茅根八钱，高参两须，
虚心	xūxīn	a	With an open mind	可是乘客的意见。你们也应该虚心接受。
嘘	xu1	v	Shh.	“嘘，有个小鹿
徐	xú	d	Xu	我介绍一下，这位是李磊先生，这位是徐经理。
旋转	xuánzhuǎn	v	rotate	雷达显示屏上立刻出现一卷向左旋转的斑亮
选手	xuǎnshǒu	n	Player	我是个职业的选手。
选择	xuǎnzé	v	Choice	我没有什么好，你还选择我。
雪糕	xuěgāo	n	Ice cream	我是雪糕。
血管	xuèguǎn	n	Blood vessel	我跟你说不会疼的，血管。
寻找	xúnzhǎo	v	seek	他正是你要{yao4}寻找的{de5}人。
迅速	xùnsù	a	Quickly	好。嗯，如果你能在礼拜三上午飞过来的话，那对我们来说最好不过了。葛雷格或者我可以去机场接你，之后，我们可以带你去参观会议中心和凯萨饭店。如果有时间的话，你可以再去一下我们的办公室，我们可以迅速处理一些还没有解决的细节问题。
延长	yáncháng	v	extend	公路向我们山区延长过来
严	yán	a	Yan	是的，是的，严教授您好啊！
演戏	yǎnxì	v	Acting	我最棒是演戏。
燕	yàn	n	Swallow	当燕军只注意防备正面时，背后却遭到了郑军的突然袭击，结果大败
燕子	yànzi	n	swallow	幸亏燕子妈妈及时赶到，赶紧扶着他，才没有跌下去
羊毛	yángmáo	n	Wool	这可是纯羊毛的。款式也是今年最流行的。
阳	yáng	n	Yang	您好，这是我的个人简历，我叫刘易阳。
洋	yáng	a	Yang	我不管，我要杀这洋妞。
样品	yàngpǐn	n	Sample	这些是样品，这一件是礼物。这些东西需要交税吗？
妖	yāo	n	Demon	他们甚至还怕某些想象出来的、而实际并不存在的现象，如妖、魔、鬼、怪等
药品	yàopǐn	n	Drugs	我是法拉利保健药品集团总裁。
也就是说	yějiùshìshuō	c	That is to say	目前我们还不知道将军墓的地址，也就是说不知道敌人作案的地方
一辈子	yībèizi	nt	A lifetime	请你给我一辈子的时间，
一带	yīdài	n	Area	B:抓紧点，都是这一带的，别输给人家。听见没有？
一旦	yīdàn	d	Once	请你填下"行李遗失登记表".我们一旦找到行李马上通知你.
一向	yīxiàng	d	Always	说到吃，我一向很有公信力的。
仪	yí	n	instrument	电子谱仪和超高真空技术的发展为表面物理提供了重要条件
姨夫	yífū	n	Uncle	爱珠小的时候，长期住在大姨夫王老秀才家里，跟老秀才学会了读、写、算，还念了不少古文，又跟姨妈学会做莱、缝纫，以至于老秀才常对人夸奖
移动	yídòng	v	Mobile	正以时速三十公里，逐渐向北缓慢移动。
以外	yǐwài	nd	Outside	除了新闻以外，我看得不太多，主要是没时间。
义	yì	n	Righteousness	吴家真是有情有义，我放心了。
忆	yì	v	Memory	我还记得很多事情，我不可能失忆。
易	yì	a	Easy	是吗，也许吧。但易腐烂的东西也是不能带进来的。
意外	yìwài	a	Accident	是不是出过什么意外？
饮	yǐn	v	drink	因而“举国趋之，如饮狂泉”
营	yíng	n	camp	一个连是这样，更不用说营、团、师、军了
影视	yǐngshì	n	Movies	演员在台上或在影视屏幕上扮演别人，丑是角色需要，俊也是角色需要，不丑不俊是剧情需要
影响	yǐngxiǎng	v	Influence	直接影响了你的记忆。
影子	yǐngzi	n	shadow	不难{nan2}在他的{de5}身上看到徐问的{de5}影子。
拥有	yōngyǒu	v	Have	还要拥有自己的学校啊，训练中心，
勇	yǒng	a	Brave	在国家需要的时候，能挺身而出，勇于为国献身，反对那种为了个人的幸福，背叛祖国或欺骗集体和组织的行为
勇气	yǒngqì	n	Courage	你这么有勇气。
勇士	yǒngshì	n	warrior	其中最难最险的，就是八勇士走过的这条路
油水	yóushuǐ	n	Oil and water	我是油水滴到仪器。
友	yǒu	n	Friends	各位团友跟我来到这边，站到那边啊。
于是	yúshì	c	therefore	另外，各种职业的经济收入、社会地位也是不同的，于是形成一个职业阶梯结构
语句	yǔjù	n	sentence	有些词用在不同的语句中有不同的色彩
玉石	yùshí	n	jade	后来一问，雕刻这些工艺品的玛瑙玉石烧制厂家少，价格也高得出奇
原本	yuánběn	d	The original	其实原本生活里就未必只有陆然。
原先	yuánxiān	d	original	屋里立马不响了，恢复了原先的沉寂
圆珠笔	yuánzhūbǐ	n	ball pen	一枝圆珠笔能有这么大本领
缘	yuán	n	edge	小时候,我曾看过《镜花缘》，知道传说中有个君子国，在这街道两侧的大小商店里，我看到了一个真正的君子国
运气	yùnqì	n	Luck	舅舅！舅舅！你看我运气真好。
杂	zá	a	miscellaneous	颜色太杂,我分{fen1}不了{liao3}
在下	zàixià	r	In the next	给在下落一片吧！
在于	zàiyú	v	Lie in	A:我觉得做任何工作，不只在于他的学历，我有我的真诚与热情。
暂时	zànshí	nt	Temporary	他暂时还不需要。
糟	zāo	a	Bad	你这个人怎么这么糟心呢？
糟糕	zāogāo	a	Oh, that's too bad	哦！太糟糕了！那我怎么去博物馆呢？
早退	zǎotuì	v	Leave early	你必须告诉我为什么你要{yao4}早退。
造成	zàochéng	v	Cause	就是酒喝太多造成的。
贼	zéi	n	The thief	《天下无贼》？电影的名字是什么意思？
增	zēng	v	Increasing	为什么有些牛奶生产厂家往牛奶里添加增稠剂啊?
增加	zēngjiā	v	Increase	要增加收入？
增长	zēngzhǎng	v	increase	绘制一张世界人口增长示意图（折线或柱状图）
炸弹	zhàdàn	n	Bomb	救人…有炸弹！
战士	zhànshì	n	warrior	年终评比时，战士小李被评为先进个人
战友	zhànyǒu	n	Comrades in arms	驻在山那边的炮二连官兵十分关心两位海军战友，连队干部战士常来看望
战争	zhànzhēng	n	Warfare	秦先生，报上说，苏联对日本宣战说是为了缩短战争时间，那是说
站点	zhàndiǎn	n	site	现在很多站点打不开了。
章	zhāng	n	chapter	每一章都{dou1}讲到了{le5}
帐	zhàng	n	account	这笔帐过{guo4}了{le5}好{hao3}长{chang2}时间了{le5}
赵	zhào	nhf	Zhao	各位朋友，出席今天晚会的有：公司董事长赵杰先生、总经理王蓉女士。
珍贵	zhēnguì	a	precious	这种{zhong3}珍贵的{de5}鱼打{da3}不得{de5}
真实	zhēnshí	a	TRUE	坐在这我感觉特别不真实。
真是的	zhēnshìde	i	Damn it	阿桃，你真是的，
镇	zhèn	n	The town	就在留下镇。
镇子	zhènzi	n	town	这是镇子里的{de5}最长{chang2}的{de5}街道。
争取	zhēngqǔ	v	Strive for	全部都是你争取过来的。
蒸	zhēng	v	Steamed	菁蒸room？是是…
郑	zhèng	nhf	Zheng	对不起，郑小姐。
挣钱	zhèngqián	v	Earn money	谁都知道在美国挣钱比中国容易。
支持	zhīchí	v	Support	谢谢你刚才支持我!
直接	zhíjiē	a	Direct	你直接去拿就行了。
至少	zhìshǎo	d	At least	我至少我敢承认。
至于	zhìyú	v	As for	A:你们的心意我领了。至于花销，真的不需要你们负责。
志	zhì	n	Ambition	昂志明回忆痛苦的往事，问妻子
致	zhì	v	Induced	严重的可致失明和下肢瘫痪。
智	zhì	n	wisdom	横的方面，至少包括德、智、体、美、劳５个方面
终	zhōng	n	end	胜利终将{jiang1}属于我们。
肿	zhǒng	v	Swollen	都肿了，神经病！
众	zhòng	a	many	不料，这次同样遭到了众花儿的反对
重复	chóngfù	v	Repeat	我再重复一遍.是0,两个7,8,7,3,6,7,两个6,两个8.
州	zhōu	n	State	隔州一律一两。
洲	zhōu	n	continent	地中海是在欧非两洲之间。
主持	zhǔchí	v	Host	让他来这里主持。
主动	zhǔdòng	a	Active	还是我主动约你的。
主任	zhǔrèn	n	Director	徐朗先生，就是我们新的行政主任了。
助手	zhùshǒu	n	Assistant	她是你的助手。她叫简洁。
柱子	zhùzi	n	column	这里怎么也顶上{shang4}柱子了{le5}
著	zhù	v	The	不用对著大姐！当然赞成了！
专	zhuān	a	expert	毕业以后，就在私立稻田家专念家政系。
专家	zhuānjiā	n	Experts	挂一个专家号。
赚	zhuàn	v	Earn	能多赚一点当然好。
准时	zhǔnshí	a	On time	13月18日早8点准时开业。
资料	zīliào	n	Data	B:资料带了吗？
子女	zǐnǚ	n	children	事实上群众对于自己的子女的身体健康是十分关怀的
自私	zìsī	a	Selfish	你太自私了。
自由	zìyóu	a	Free	产生“丁克家庭”的原因有很多。有的是因为现在的生活成本越来越高，养大一个孩子得花很多的钱；有的是夫妻都太忙，生活节奏太快，完全没时间照顾孩子；有的夫妻觉得还是“二人世界”最浪漫、最自由，所以就不要孩子了。可是传统的中国人还是认为没有孩子的家庭是不完整的。
字词	zìcí	n	word	学习语文的规律，体现在两个联系之中，一个是字词句篇之间的内在联系，一个是听说读写之间的内在联系
棕	zōng	n	Brown	棕仁、棕油的产量和出口量在世界均占重要地位
总共	zǒnggòng	d	In total	好的。谢谢你。好了，这次有用。总共199美元，请在这儿签名。
总监	zǒngjiān	n	Chief inspector	我在担任销售总监秘书的一年当中，
总统	zǒngtǒng	n	President	您想要什么类型的房间呢，先生？我们有单人房，TWBs,DWBs,套房和豪华套房有中、日、罗马、法国和总统风格。
揍	zòu	v	Beat	不过自从吉逊给你揍完以后。
足够	zúgòu	a	Enough	每个人有足够的食物。
族	zú	n	Family	比如说“月光族”，这是什么意思？是说一群人喜欢月光吗？
钻	zuān/zuàn	v	drill	对啦，敌人他是无孔不钻的
最佳	zuìjiā	a	The best	最近又开始选最佳影星了。
罪	zuì	n	crime	向大伙赔开罪了{le5}
尊重	zūnzhòng	v	Respect	我尊重孩子的意见。
案	àn	n	Case	所以每次要交企划案的时候。
案件	ànjiàn	n	The case	他的案件很多我都详细研究过。
案子	ànzi	n	Case.	往常我们跟他们的案子，
暗中	ànzhōng	d	Secretly	他暗中为{wei4}我们递起情报来了{le5}
把手	bǎshǒu	n	Handle	好极了。对了，开会前让我先把手机关掉。
白痴	báichī	n	Idiot	任何一个白痴也不会闹不懂的
百年	bǎinián	nt	A hundred years	对，那个“瑞蚨祥”是一家百年老店，这部电视剧就是描写它的兴衰史的。通过它，可以看到中国民族商业发展的艰难。想不到安德鲁斯小姐对这样的电视剧也有兴趣。
拜访	bàifǎng	v	Visit	好的.到时候来拜访他.
版	bǎn	n	Version	限量版，买一套特好看。
包围	bāowéi	v	surround	被包围过{guo5}一次
报答	bàodá	v	repay	回部队后一定努力工作，报答党和人民的关怀
爆发	bàofā	v	The outbreak of	要在一瞬间能够爆发最强力量
必定	bìdìng	d	Certain	仓库里的产品不合格，那么，这种产品的质量就很不可靠了，其质量管理必定有问题
必然	bìrán	a	inevitable	这些特征是商品经济高度发展的必然产物
标准	biāozhǔn	n	Standard	非常非常非常标准的正圆。
补充	bǔchōng	v	supplement	我们再补充两人参加
猜测	cāicè	v	Guess	很多传媒都在猜测我的女朋友是谁？
材	cái	n	material	主人之雁以不材死
蔡	ca1	nhf	CAI	可是，前天蔡婆婆却没有到阳台上来
参与	cānyù	v	To participate in the	同时继续参与HR的工作，
超级	chāojí	a	Super	当年我们女儿参加超级MM海选。
彻底	chèdǐ	a	thorough	当幻想彻底破灭的时候，她的面前哪还能有生路呢
臣	chén	n	Chen	儿臣苍海，拜见母后。
诚	chéng	a	Sincerity	那么，诚与诚实是否是一致的
痴呆	chīdāi	a	Dementia	也有人叫它痴呆症。
持有	chíyǒu	v	Hold	包括购入然后长期持有，
冲锋	chōngfēng	v	charge	可是他们都在向挣扎，奋斗，冲锋的生路上狂奔，争取最后的胜利，为什么你要想到死呢
崇拜	chóngbài	v	Worship	一直都很崇拜你。
仇	chóu	n	Enmity	再看签名，更认不出来，像周，又像刘，又像仇，又像许，反正有一点绝对肯定，就是说，不是赵
出卖	chūmài	v	sell	他不是出卖我们的{de5}人。
创造	chuàngzào	v	Create	那你更要创造机会，出现在他面前啊。
赐	cì	v	Bestow	我离开你，也许是带走了你的幸福，你要知道，这不是我的罪过，是你在三十年前，你的父母，赐给你一个幸福的障碍
当初	dāngchū	nt	Original	你当初把他从美国叫回来。
档	dàng	n	File	就可以在档上签个名，来。
党	dǎng	n	party	要{yao4}坚持和{he2}健全重大问题民主科学决策制度、企业党组织参与重大问题决策制度。
导	dǎo	v	guide	最后，对波导问题作一简单的介绍
得罪	dézui	v	Offend	我得罪你了？
抵	dǐ	v	Offset	此项支出的总额可以作一年分配，而必须以每日平均的收入来作抵补
地狱	dìyù	n	Infernal	体验着神话中的地狱生活
店铺	diànpù	n	The shop	我们香港的店铺全关了。
赌博	dǔbó	v	gambling	“我们不是赌博，娱乐娱乐
